  1997 Jan- 6 to Jan-10, 
  2008 May- 5 to May- 9,11.33
  2008 May- 5 to May- 9,11.29
  2008 May-12 to May-16,11.38
  2008 May-12 to May-16,11.18
  2008 May-12 to May-16,11.52
  2008 May-12 to May-16,11.41
  2008 May-12 to May-16,11.31
  2008 May-19 to May-23,11.10
  2008 May-19 to May-23,10.94
  2008 May-19 to May-23,11.40
  2008 May-19 to May-23,11.57
  2008 May-19 to May-23,11.56
  2008 May-26 to May-30,
  2008 May-26 to May-30,11.85
  2008 May-26 to May-30,11.60
  2008 May-26 to May-30,11.81
  2008 May-26 to May-30,11.43
  2008 Jun- 2 to Jun- 6,11.80
  2008 Jun- 2 to Jun- 6,12.27
  2008 Jun- 2 to Jun- 6,12.17
  2008 Jun- 2 to Jun- 6,12.49
  2008 Jun- 2 to Jun- 6,12.71
  2008 Jun- 9 to Jun-13,12.71
  2008 Jun- 9 to Jun-13,12.72
  2008 Jun- 9 to Jun-13,12.49
  2008 Jun- 9 to Jun-13,12.51
  2008 Jun- 9 to Jun-13,12.51
  2008 Jun-16 to Jun-20,12.73
  2008 Jun-16 to Jun-20,12.87
  2008 Jun-16 to Jun-20,12.93
  2008 Jun-16 to Jun-20,13.09
  2008 Jun-16 to Jun-20,12.76
  2008 Jun-23 to Jun-27,12.92
  2008 Jun-23 to Jun-27,12.96
  2008 Jun-23 to Jun-27,12.76
  2008 Jun-23 to Jun-27,12.70
  2008 Jun-23 to Jun-27,13.10
  2008 Jun-30 to Jul- 4,13.19
  2008 Jun-30 to Jul- 4,13.28
  2008 Jun-30 to Jul- 4,13.31
  2008 Jun-30 to Jul- 4,13.00
  2008 Jun-30 to Jul- 4,
  2008 Jul- 7 to Jul-11,12.96
  2008 Jul- 7 to Jul-11,12.47
  2008 Jul- 7 to Jul-11,12.10
  2008 Jul- 7 to Jul-11,11.83
  2008 Jul- 7 to Jul-11,12.15
  2008 Jul-14 to Jul-18,11.58
  2008 Jul-14 to Jul-18,11.79
  2008 Jul-14 to Jul-18,11.15
  2008 Jul-14 to Jul-18,11.43
  2008 Jul-14 to Jul-18,10.54
  2008 Jul-21 to Jul-25,10.58
  2008 Jul-21 to Jul-25,10.16
  2008 Jul-21 to Jul-25,9.88
  2008 Jul-21 to Jul-25,9.70
  2008 Jul-21 to Jul-25,9.34
  2008 Jul-28 to Aug- 1,9.26
  2008 Jul-28 to Aug- 1,9.17
  2008 Jul-28 to Aug- 1,9.01
  2008 Jul-28 to Aug- 1,9.26
  2008 Jul-28 to Aug- 1,9.05
  2008 Aug- 4 to Aug- 8,9.20
  2008 Aug- 4 to Aug- 8,8.66
  2008 Aug- 4 to Aug- 8,8.70
  2008 Aug- 4 to Aug- 8,8.77
  2008 Aug- 4 to Aug- 8,8.22
  2008 Aug-11 to Aug-15,8.18
  2008 Aug-11 to Aug-15,8.23
  2008 Aug-11 to Aug-15,8.11
  2008 Aug-11 to Aug-15,8.15
  2008 Aug-11 to Aug-15,7.82
  2008 Aug-18 to Aug-22,7.74
  2008 Aug-18 to Aug-22,7.73
  2008 Aug-18 to Aug-22,8.02
  2008 Aug-18 to Aug-22,8.04
  2008 Aug-18 to Aug-22,7.98
  2008 Aug-25 to Aug-29,7.63
  2008 Aug-25 to Aug-29,8.02
  2008 Aug-25 to Aug-29,8.54
  2008 Aug-25 to Aug-29,8.36
  2008 Aug-25 to Aug-29,8.24
  2008 Sep- 1 to Sep- 5,
  2008 Sep- 1 to Sep- 5,8.24
  2008 Sep- 1 to Sep- 5,7.26
  2008 Sep- 1 to Sep- 5,7.24
  2008 Sep- 1 to Sep- 5,7.40
  2008 Sep- 8 to Sep-12,7.68
  2008 Sep- 8 to Sep-12,7.28
  2008 Sep- 8 to Sep-12,7.65
  2008 Sep- 8 to Sep-12,7.83
  2008 Sep- 8 to Sep-12,8.02
  2008 Sep-15 to Sep-19,8.02
  2008 Sep-15 to Sep-19,7.76
  2008 Sep-15 to Sep-19,7.72
  2008 Sep-15 to Sep-19,8.26
  2008 Sep-15 to Sep-19,7.79
  2008 Sep-22 to Sep-26,7.66
  2008 Sep-22 to Sep-26,7.84
  2008 Sep-22 to Sep-26,8.15
  2008 Sep-22 to Sep-26,7.63
  2008 Sep-22 to Sep-26,7.42
  2008 Sep-29 to Oct- 3,7.13
  2008 Sep-29 to Oct- 3,7.17
  2008 Sep-29 to Oct- 3,7.41
  2008 Sep-29 to Oct- 3,7.64
  2008 Sep-29 to Oct- 3,7.16
  2008 Oct- 6 to Oct-10,6.87
  2008 Oct- 6 to Oct-10,6.74
  2008 Oct- 6 to Oct-10,6.58
  2008 Oct- 6 to Oct-10,6.69
  2008 Oct- 6 to Oct-10,6.52
  2008 Oct-13 to Oct-17,6.62
  2008 Oct-13 to Oct-17,6.74
  2008 Oct-13 to Oct-17,6.64
  2008 Oct-13 to Oct-17,6.65
  2008 Oct-13 to Oct-17,6.76
  2008 Oct-20 to Oct-24,6.98
  2008 Oct-20 to Oct-24,6.76
  2008 Oct-20 to Oct-24,6.94
  2008 Oct-20 to Oct-24,6.77
  2008 Oct-20 to Oct-24,6.29
  2008 Oct-27 to Oct-31,6.27
  2008 Oct-27 to Oct-31,6.40
  2008 Oct-27 to Oct-31,6.58
  2008 Oct-27 to Oct-31,6.75
  2008 Oct-27 to Oct-31,6.18
  2008 Nov- 3 to Nov- 7,6.45
  2008 Nov- 3 to Nov- 7,6.79
  2008 Nov- 3 to Nov- 7,6.94
  2008 Nov- 3 to Nov- 7,7.04
  2008 Nov- 3 to Nov- 7,6.60
  2008 Nov-10 to Nov-14,7.07
  2008 Nov-10 to Nov-14,7.02
  2008 Nov-10 to Nov-14,6.65
  2008 Nov-10 to Nov-14,6.31
  2008 Nov-10 to Nov-14,6.33
  2008 Nov-17 to Nov-21,6.55
  2008 Nov-17 to Nov-21,6.74
  2008 Nov-17 to Nov-21,6.76
  2008 Nov-17 to Nov-21,6.76
  2008 Nov-17 to Nov-21,6.56
  2008 Nov-24 to Nov-28,6.85
  2008 Nov-24 to Nov-28,6.71
  2008 Nov-24 to Nov-28,6.43
  2008 Nov-24 to Nov-28,
  2008 Nov-24 to Nov-28,6.43
  2008 Dec- 1 to Dec- 5,6.48
  2008 Dec- 1 to Dec- 5,6.68
  2008 Dec- 1 to Dec- 5,6.48
  2008 Dec- 1 to Dec- 5,6.55
  2008 Dec- 1 to Dec- 5,5.99
  2008 Dec- 8 to Dec-12,5.73
  2008 Dec- 8 to Dec-12,5.57
  2008 Dec- 8 to Dec-12,5.67
  2008 Dec- 8 to Dec-12,5.86
  2008 Dec- 8 to Dec-12,5.56
  2008 Dec-15 to Dec-19,5.75
  2008 Dec-15 to Dec-19,5.75
  2008 Dec-15 to Dec-19,5.79
  2008 Dec-15 to Dec-19,5.63
  2008 Dec-15 to Dec-19,5.66
  2008 Dec-22 to Dec-26,5.39
  2008 Dec-22 to Dec-26,5.37
  2008 Dec-22 to Dec-26,5.44
  2008 Dec-22 to Dec-26,
  2008 Dec-22 to Dec-26,5.44
  2008 Dec-29 to Jan- 2,5.81
  2008 Dec-29 to Jan- 2,5.71
  2008 Dec-29 to Jan- 2,5.63
  2008 Dec-29 to Jan- 2,
  2008 Dec-29 to Jan- 2,5.41
  2009 Jan- 5 to Jan- 9,5.83
  2009 Jan- 5 to Jan- 9,6.10
  2009 Jan- 5 to Jan- 9,5.89
  2009 Jan- 5 to Jan- 9,5.96
  2009 Jan- 5 to Jan- 9,5.60
  2009 Jan-12 to Jan-16,5.59
  2009 Jan-12 to Jan-16,5.70
  2009 Jan-12 to Jan-16,5.47
  2009 Jan-12 to Jan-16,5.27
  2009 Jan-12 to Jan-16,5.09
  2009 Jan-19 to Jan-23,
  2009 Jan-19 to Jan-23,4.86
  2009 Jan-19 to Jan-23,4.87
  2009 Jan-19 to Jan-23,4.72
  2009 Jan-19 to Jan-23,4.75
  2009 Jan-26 to Jan-30,4.62
  2009 Jan-26 to Jan-30,4.76
  2009 Jan-26 to Jan-30,4.84
  2009 Jan-26 to Jan-30,4.71
  2009 Jan-26 to Jan-30,4.77
  2009 Feb- 2 to Feb- 6,4.48
  2009 Feb- 2 to Feb- 6,5.04
  2009 Feb- 2 to Feb- 6,5.01
  2009 Feb- 2 to Feb- 6,4.84
  2009 Feb- 2 to Feb- 6,4.67
  2009 Feb- 9 to Feb-13,4.76
  2009 Feb- 9 to Feb-13,4.84
  2009 Feb- 9 to Feb-13,4.68
  2009 Feb- 9 to Feb-13,4.73
  2009 Feb- 9 to Feb-13,4.60
  2009 Feb-16 to Feb-20,
  2009 Feb-16 to Feb-20,4.35
  2009 Feb-16 to Feb-20,4.35
  2009 Feb-16 to Feb-20,4.46
  2009 Feb-16 to Feb-20,4.21
  2009 Feb-23 to Feb-27,4.23
  2009 Feb-23 to Feb-27,4.21
  2009 Feb-23 to Feb-27,4.20
  2009 Feb-23 to Feb-27,4.08
  2009 Feb-23 to Feb-27,4.04
  2009 Mar- 2 to Mar- 6,4.36
  2009 Mar- 2 to Mar- 6,4.43
  2009 Mar- 2 to Mar- 6,4.23
  2009 Mar- 2 to Mar- 6,4.22
  2009 Mar- 2 to Mar- 6,3.93
  2009 Mar- 9 to Mar-13,3.86
  2009 Mar- 9 to Mar-13,3.88
  2009 Mar- 9 to Mar-13,3.92
  2009 Mar- 9 to Mar-13,3.87
  2009 Mar- 9 to Mar-13,3.90
  2009 Mar-16 to Mar-20,3.78
  2009 Mar-16 to Mar-20,3.78
  2009 Mar-16 to Mar-20,3.75
  2009 Mar-16 to Mar-20,3.68
  2009 Mar-16 to Mar-20,3.99
  2009 Mar-23 to Mar-27,4.17
  2009 Mar-23 to Mar-27,4.13
  2009 Mar-23 to Mar-27,4.13
  2009 Mar-23 to Mar-27,4.16
  2009 Mar-23 to Mar-27,3.73
  2009 Mar-30 to Apr- 3,3.63
  2009 Mar-30 to Apr- 3,3.58
  2009 Mar-30 to Apr- 3,3.56
  2009 Mar-30 to Apr- 3,3.69
  2009 Mar-30 to Apr- 3,3.66
  2009 Apr- 6 to Apr-10,3.74
  2009 Apr- 6 to Apr-10,3.60
  2009 Apr- 6 to Apr-10,3.50
  2009 Apr- 6 to Apr-10,3.59
  2009 Apr- 6 to Apr-10,
  2009 Apr-13 to Apr-17,3.46
  2009 Apr-13 to Apr-17,3.59
  2009 Apr-13 to Apr-17,3.60
  2009 Apr-13 to Apr-17,3.54
  2009 Apr-13 to Apr-17,3.47
  2009 Apr-20 to Apr-24,3.55
  2009 Apr-20 to Apr-24,3.43
  2009 Apr-20 to Apr-24,3.48
  2009 Apr-20 to Apr-24,3.46
  2009 Apr-20 to Apr-24,3.31
  2009 Apr-27 to May- 1,3.19
  2009 Apr-27 to May- 1,3.29
  2009 Apr-27 to May- 1,3.43
  2009 Apr-27 to May- 1,3.25
  2009 Apr-27 to May- 1,3.30
  2009 May- 4 to May- 8,3.47
  2009 May- 4 to May- 8,3.62
  2009 May- 4 to May- 8,3.67
  2009 May- 4 to May- 8,3.96
  2009 May- 4 to May- 8,4.16
  2009 May-11 to May-15,4.24
  2009 May-11 to May-15,4.41
  2009 May-11 to May-15,4.42
  2009 May-11 to May-15,4.10
  2009 May-11 to May-15,4.05
  2009 May-18 to May-22,4.02
  2009 May-18 to May-22,3.99
  2009 May-18 to May-22,3.75
  2009 May-18 to May-22,3.77
  2009 May-18 to May-22,3.41
  2009 May-25 to May-29,
  2009 May-25 to May-29,3.35
  2009 May-25 to May-29,3.49
  2009 May-25 to May-29,3.55
  2009 May-25 to May-29,3.92
  2009 Jun- 1 to Jun- 5,3.86
  2009 Jun- 1 to Jun- 5,4.05
  2009 Jun- 1 to Jun- 5,3.81
  2009 Jun- 1 to Jun- 5,3.58
  2009 Jun- 1 to Jun- 5,3.51
  2009 Jun- 8 to Jun-12,3.53
  2009 Jun- 8 to Jun-12,3.53
  2009 Jun- 8 to Jun-12,3.56
  2009 Jun- 8 to Jun-12,3.51
  2009 Jun- 8 to Jun-12,3.54
  2009 Jun-15 to Jun-19,3.80
  2009 Jun-15 to Jun-19,4.16
  2009 Jun-15 to Jun-19,3.99
  2009 Jun-15 to Jun-19,4.19
  2009 Jun-15 to Jun-19,4.04
  2009 Jun-22 to Jun-26,4.01
  2009 Jun-22 to Jun-26,3.91
  2009 Jun-22 to Jun-26,3.80
  2009 Jun-22 to Jun-26,3.82
  2009 Jun-22 to Jun-26,3.81
  2009 Jun-29 to Jul- 3,3.88
  2009 Jun-29 to Jul- 3,3.72
  2009 Jun-29 to Jul- 3,3.63
  2009 Jun-29 to Jul- 3,3.49
  2009 Jun-29 to Jul- 3,
  2009 Jul- 6 to Jul-10,3.24
  2009 Jul- 6 to Jul-10,3.30
  2009 Jul- 6 to Jul-10,3.22
  2009 Jul- 6 to Jul-10,3.36
  2009 Jul- 6 to Jul-10,3.24
  2009 Jul-13 to Jul-17,3.17
  2009 Jul-13 to Jul-17,3.29
  2009 Jul-13 to Jul-17,3.37
  2009 Jul-13 to Jul-17,3.21
  2009 Jul-13 to Jul-17,3.39
  2009 Jul-20 to Jul-24,3.49
  2009 Jul-20 to Jul-24,3.48
  2009 Jul-20 to Jul-24,3.49
  2009 Jul-20 to Jul-24,3.66
  2009 Jul-20 to Jul-24,3.37
  2009 Jul-27 to Jul-31,3.46
  2009 Jul-27 to Jul-31,3.49
  2009 Jul-27 to Jul-31,3.41
  2009 Jul-27 to Jul-31,3.34
  2009 Jul-27 to Jul-31,3.34
  2009 Aug- 3 to Aug- 7,3.43
  2009 Aug- 3 to Aug- 7,3.53
  2009 Aug- 3 to Aug- 7,3.61
  2009 Aug- 3 to Aug- 7,3.78
  2009 Aug- 3 to Aug- 7,3.57
  2009 Aug-10 to Aug-14,3.55
  2009 Aug-10 to Aug-14,3.54
  2009 Aug-10 to Aug-14,3.36
  2009 Aug-10 to Aug-14,3.34
  2009 Aug-10 to Aug-14,3.18
  2009 Aug-17 to Aug-21,3.11
  2009 Aug-17 to Aug-21,3.12
  2009 Aug-17 to Aug-21,3.03
  2009 Aug-17 to Aug-21,3.03
  2009 Aug-17 to Aug-21,2.78
  2009 Aug-24 to Aug-28,2.69
  2009 Aug-24 to Aug-28,2.85
  2009 Aug-24 to Aug-28,2.76
  2009 Aug-24 to Aug-28,2.76
  2009 Aug-24 to Aug-28,2.52
  2009 Aug-31 to Sep- 4,2.42
  2009 Aug-31 to Sep- 4,2.36
  2009 Aug-31 to Sep- 4,2.25
  2009 Aug-31 to Sep- 4,2.06
  2009 Aug-31 to Sep- 4,1.83
  2009 Sep- 7 to Sep-11,
  2009 Sep- 7 to Sep-11,2.43
  2009 Sep- 7 to Sep-11,2.72
  2009 Sep- 7 to Sep-11,2.68
  2009 Sep- 7 to Sep-11,2.94
  2009 Sep-14 to Sep-18,2.84
  2009 Sep-14 to Sep-18,3.21
  2009 Sep-14 to Sep-18,3.28
  2009 Sep-14 to Sep-18,3.50
  2009 Sep-14 to Sep-18,3.21
  2009 Sep-21 to Sep-25,3.35
  2009 Sep-21 to Sep-25,3.37
  2009 Sep-21 to Sep-25,3.43
  2009 Sep-21 to Sep-25,3.56
  2009 Sep-21 to Sep-25,3.61
  2009 Sep-28 to Oct- 2,3.54
  2009 Sep-28 to Oct- 2,3.30
  2009 Sep-28 to Oct- 2,3.25
  2009 Sep-28 to Oct- 2,2.91
  2009 Sep-28 to Oct- 2,2.32
  2009 Oct- 5 to Oct- 9,2.89
  2009 Oct- 5 to Oct- 9,3.23
  2009 Oct- 5 to Oct- 9,3.70
  2009 Oct- 5 to Oct- 9,4.24
  2009 Oct- 5 to Oct- 9,3.92
  2009 Oct-12 to Oct-16,3.96
  2009 Oct-12 to Oct-16,4.03
  2009 Oct-12 to Oct-16,3.82
  2009 Oct-12 to Oct-16,3.88
  2009 Oct-12 to Oct-16,3.94
  2009 Oct-19 to Oct-23,4.22
  2009 Oct-19 to Oct-23,4.60
  2009 Oct-19 to Oct-23,4.80
  2009 Oct-19 to Oct-23,4.98
  2009 Oct-19 to Oct-23,4.88
  2009 Oct-26 to Oct-30,4.52
  2009 Oct-26 to Oct-30,4.52
  2009 Oct-26 to Oct-30,4.59
  2009 Oct-26 to Oct-30,4.11
  2009 Oct-26 to Oct-30,4.11
  2009 Nov- 2 to Nov- 6,4.32
  2009 Nov- 2 to Nov- 6,4.33
  2009 Nov- 2 to Nov- 6,4.49
  2009 Nov- 2 to Nov- 6,4.30
  2009 Nov- 2 to Nov- 6,3.95
  2009 Nov- 9 to Nov-13,3.78
  2009 Nov- 9 to Nov-13,3.76
  2009 Nov- 9 to Nov-13,3.59
  2009 Nov- 9 to Nov-13,3.24
  2009 Nov- 9 to Nov-13,2.51
  2009 Nov-16 to Nov-20,2.65
  2009 Nov-16 to Nov-20,3.47
  2009 Nov-16 to Nov-20,3.74
  2009 Nov-16 to Nov-20,3.57
  2009 Nov-16 to Nov-20,3.09
  2009 Nov-23 to Nov-27,3.79
  2009 Nov-23 to Nov-27,3.63
  2009 Nov-23 to Nov-27,3.32
  2009 Nov-23 to Nov-27,
  2009 Nov-23 to Nov-27,3.32
  2009 Nov-30 to Dec- 4,4.41
  2009 Nov-30 to Dec- 4,4.30
  2009 Nov-30 to Dec- 4,4.67
  2009 Nov-30 to Dec- 4,4.57
  2009 Nov-30 to Dec- 4,4.53
  2009 Dec- 7 to Dec-11,4.78
  2009 Dec- 7 to Dec-11,5.10
  2009 Dec- 7 to Dec-11,5.27
  2009 Dec- 7 to Dec-11,5.02
  2009 Dec- 7 to Dec-11,5.21
  2009 Dec-14 to Dec-18,5.41
  2009 Dec-14 to Dec-18,5.53
  2009 Dec-14 to Dec-18,5.57
  2009 Dec-14 to Dec-18,5.65
  2009 Dec-14 to Dec-18,5.87
  2009 Dec-21 to Dec-25,5.79
  2009 Dec-21 to Dec-25,5.56
  2009 Dec-21 to Dec-25,5.55
  2009 Dec-21 to Dec-25,5.75
  2009 Dec-21 to Dec-25,
  2009 Dec-28 to Jan- 1,5.91
  2009 Dec-28 to Jan- 1,6.01
  2009 Dec-28 to Jan- 1,5.78
  2009 Dec-28 to Jan- 1,5.82
  2009 Dec-28 to Jan- 1,
  2010 Jan- 4 to Jan- 8,6.09
  2010 Jan- 4 to Jan- 8,6.19
  2010 Jan- 4 to Jan- 8,6.47
  2010 Jan- 4 to Jan- 8,7.51
  2010 Jan- 4 to Jan- 8,6.56
  2010 Jan-11 to Jan-15,5.77
  2010 Jan-11 to Jan-15,5.57
  2010 Jan-11 to Jan-15,5.61
  2010 Jan-11 to Jan-15,5.77
  2010 Jan-11 to Jan-15,5.66
  2010 Jan-18 to Jan-22,
  2010 Jan-18 to Jan-22,5.51
  2010 Jan-18 to Jan-22,5.54
  2010 Jan-18 to Jan-22,5.52
  2010 Jan-18 to Jan-22,5.67
  2010 Jan-25 to Jan-29,5.76
  2010 Jan-25 to Jan-29,5.61
  2010 Jan-25 to Jan-29,5.42
  2010 Jan-25 to Jan-29,5.32
  2010 Jan-25 to Jan-29,5.26
  2010 Feb- 1 to Feb- 5,5.30
  2010 Feb- 1 to Feb- 5,5.47
  2010 Feb- 1 to Feb- 5,5.51
  2010 Feb- 1 to Feb- 5,5.47
  2010 Feb- 1 to Feb- 5,5.61
  2010 Feb- 8 to Feb-12,5.73
  2010 Feb- 8 to Feb-12,5.54
  2010 Feb- 8 to Feb-12,5.48
  2010 Feb- 8 to Feb-12,5.53
  2010 Feb- 8 to Feb-12,5.48
  2010 Feb-15 to Feb-19,
  2010 Feb-15 to Feb-19,5.65
  2010 Feb-15 to Feb-19,5.47
  2010 Feb-15 to Feb-19,5.40
  2010 Feb-15 to Feb-19,5.10
  2010 Feb-22 to Feb-26,4.92
  2010 Feb-22 to Feb-26,4.91
  2010 Feb-22 to Feb-26,4.91
  2010 Feb-22 to Feb-26,4.84
  2010 Feb-22 to Feb-26,4.76
  2010 Mar- 1 to Mar- 5,4.83
  2010 Mar- 1 to Mar- 5,4.78
  2010 Mar- 1 to Mar- 5,4.76
  2010 Mar- 1 to Mar- 5,4.78
  2010 Mar- 1 to Mar- 5,4.56
  2010 Mar- 8 to Mar-12,4.47
  2010 Mar- 8 to Mar-12,4.51
  2010 Mar- 8 to Mar-12,4.44
  2010 Mar- 8 to Mar-12,4.47
  2010 Mar- 8 to Mar-12,4.35
  2010 Mar-15 to Mar-19,4.29
  2010 Mar-15 to Mar-19,4.38
  2010 Mar-15 to Mar-19,4.27
  2010 Mar-15 to Mar-19,4.19
  2010 Mar-15 to Mar-19,4.01
  2010 Mar-22 to Mar-26,4.02
  2010 Mar-22 to Mar-26,4.08
  2010 Mar-22 to Mar-26,4.02
  2010 Mar-22 to Mar-26,4.01
  2010 Mar-22 to Mar-26,3.92
  2010 Mar-29 to Apr- 2,3.83
  2010 Mar-29 to Apr- 2,3.79
  2010 Mar-29 to Apr- 2,3.93
  2010 Mar-29 to Apr- 2,3.72
  2010 Mar-29 to Apr- 2,
  2010 Apr- 5 to Apr- 9,3.93
  2010 Apr- 5 to Apr- 9,4.16
  2010 Apr- 5 to Apr- 9,4.08
  2010 Apr- 5 to Apr- 9,3.92
  2010 Apr- 5 to Apr- 9,3.90
  2010 Apr-12 to Apr-16,4.04
  2010 Apr-12 to Apr-16,3.97
  2010 Apr-12 to Apr-16,4.15
  2010 Apr-12 to Apr-16,4.16
  2010 Apr-12 to Apr-16,3.97
  2010 Apr-19 to Apr-23,4.02
  2010 Apr-19 to Apr-23,3.93
  2010 Apr-19 to Apr-23,3.96
  2010 Apr-19 to Apr-23,3.95
  2010 Apr-19 to Apr-23,4.07
  2010 Apr-26 to Apr-30,4.23
  2010 Apr-26 to Apr-30,4.18
  2010 Apr-26 to Apr-30,4.19
  2010 Apr-26 to Apr-30,4.24
  2010 Apr-26 to Apr-30,3.94
  2010 May- 3 to May- 7,3.86
  2010 May- 3 to May- 7,3.96
  2010 May- 3 to May- 7,4.00
  2010 May- 3 to May- 7,3.97
  2010 May- 3 to May- 7,3.91
  2010 May-10 to May-14,4.08
  2010 May-10 to May-14,4.15
  2010 May-10 to May-14,4.18
  2010 May-10 to May-14,4.26
  2010 May-10 to May-14,4.27
  2010 May-17 to May-21,4.34
  2010 May-17 to May-21,4.42
  2010 May-17 to May-21,4.28
  2010 May-17 to May-21,4.12
  2010 May-17 to May-21,4.12
  2010 May-24 to May-28,4.08
  2010 May-24 to May-28,4.08
  2010 May-24 to May-28,4.19
  2010 May-24 to May-28,4.22
  2010 May-24 to May-28,4.31
  2010 May-31 to Jun- 4,
  2010 May-31 to Jun- 4,4.39
  2010 May-31 to Jun- 4,4.32
  2010 May-31 to Jun- 4,4.46
  2010 May-31 to Jun- 4,4.60
  2010 Jun- 7 to Jun-11,4.67
  2010 Jun- 7 to Jun-11,4.89
  2010 Jun- 7 to Jun-11,4.75
  2010 Jun- 7 to Jun-11,4.68
  2010 Jun- 7 to Jun-11,4.68
  2010 Jun-14 to Jun-18,4.94
  2010 Jun-14 to Jun-18,5.11
  2010 Jun-14 to Jun-18,5.13
  2010 Jun-14 to Jun-18,5.14
  2010 Jun-14 to Jun-18,5.17
  2010 Jun-21 to Jun-25,5.15
  2010 Jun-21 to Jun-25,4.87
  2010 Jun-21 to Jun-25,4.90
  2010 Jun-21 to Jun-25,4.88
  2010 Jun-21 to Jun-25,4.84
  2010 Jun-28 to Jul- 2,4.85
  2010 Jun-28 to Jul- 2,4.68
  2010 Jun-28 to Jul- 2,4.53
  2010 Jun-28 to Jul- 2,4.54
  2010 Jun-28 to Jul- 2,4.72
  2010 Jul- 5 to Jul- 9,
  2010 Jul- 5 to Jul- 9,4.85
  2010 Jul- 5 to Jul- 9,4.76
  2010 Jul- 5 to Jul- 9,4.61
  2010 Jul- 5 to Jul- 9,4.36
  2010 Jul-12 to Jul-16,4.42
  2010 Jul-12 to Jul-16,4.46
  2010 Jul-12 to Jul-16,4.39
  2010 Jul-12 to Jul-16,4.43
  2010 Jul-12 to Jul-16,4.68
  2010 Jul-19 to Jul-23,4.56
  2010 Jul-19 to Jul-23,4.59
  2010 Jul-19 to Jul-23,4.70
  2010 Jul-19 to Jul-23,4.67
  2010 Jul-19 to Jul-23,4.69
  2010 Jul-26 to Jul-30,4.65
  2010 Jul-26 to Jul-30,4.72
  2010 Jul-26 to Jul-30,4.75
  2010 Jul-26 to Jul-30,4.80
  2010 Jul-26 to Jul-30,4.81
  2010 Aug- 2 to Aug- 6,4.94
  2010 Aug- 2 to Aug- 6,4.78
  2010 Aug- 2 to Aug- 6,4.77
  2010 Aug- 2 to Aug- 6,4.84
  2010 Aug- 2 to Aug- 6,4.67
  2010 Aug- 9 to Aug-13,4.52
  2010 Aug- 9 to Aug-13,4.43
  2010 Aug- 9 to Aug-13,4.38
  2010 Aug- 9 to Aug-13,4.42
  2010 Aug- 9 to Aug-13,4.35
  2010 Aug-16 to Aug-20,4.37
  2010 Aug-16 to Aug-20,4.28
  2010 Aug-16 to Aug-20,4.35
  2010 Aug-16 to Aug-20,4.29
  2010 Aug-16 to Aug-20,4.19
  2010 Aug-23 to Aug-27,4.12
  2010 Aug-23 to Aug-27,4.07
  2010 Aug-23 to Aug-27,3.99
  2010 Aug-23 to Aug-27,3.85
  2010 Aug-23 to Aug-27,3.75
  2010 Aug-30 to Sep- 3,3.77
  2010 Aug-30 to Sep- 3,3.80
  2010 Aug-30 to Sep- 3,3.73
  2010 Aug-30 to Sep- 3,3.74
  2010 Aug-30 to Sep- 3,3.74
  2010 Sep- 6 to Sep-10,
  2010 Sep- 6 to Sep-10,3.82
  2010 Sep- 6 to Sep-10,3.81
  2010 Sep- 6 to Sep-10,3.79
  2010 Sep- 6 to Sep-10,3.79
  2010 Sep-13 to Sep-17,3.83
  2010 Sep-13 to Sep-17,3.98
  2010 Sep-13 to Sep-17,4.06
  2010 Sep-13 to Sep-17,4.09
  2010 Sep-13 to Sep-17,4.11
  2010 Sep-20 to Sep-24,4.01
  2010 Sep-20 to Sep-24,3.95
  2010 Sep-20 to Sep-24,4.02
  2010 Sep-20 to Sep-24,4.08
  2010 Sep-20 to Sep-24,3.97
  2010 Sep-27 to Oct- 1,3.80
  2010 Sep-27 to Oct- 1,3.80
  2010 Sep-27 to Oct- 1,3.81
  2010 Sep-27 to Oct- 1,3.85
  2010 Sep-27 to Oct- 1,3.67
  2010 Oct- 4 to Oct- 8,3.56
  2010 Oct- 4 to Oct- 8,3.51
  2010 Oct- 4 to Oct- 8,3.56
  2010 Oct- 4 to Oct- 8,3.62
  2010 Oct- 4 to Oct- 8,3.36
  2010 Oct-11 to Oct-15,3.43
  2010 Oct-11 to Oct-15,3.40
  2010 Oct-11 to Oct-15,3.58
  2010 Oct-11 to Oct-15,3.58
  2010 Oct-11 to Oct-15,3.47
  2010 Oct-18 to Oct-22,3.36
  2010 Oct-18 to Oct-22,3.36
  2010 Oct-18 to Oct-22,3.46
  2010 Oct-18 to Oct-22,3.46
  2010 Oct-18 to Oct-22,3.19
  2010 Oct-25 to Oct-29,3.18
  2010 Oct-25 to Oct-29,3.28
  2010 Oct-25 to Oct-29,3.37
  2010 Oct-25 to Oct-29,3.36
  2010 Oct-25 to Oct-29,3.36
  2010 Nov- 1 to Nov- 5,3.42
  2010 Nov- 1 to Nov- 5,3.20
  2010 Nov- 1 to Nov- 5,3.35
  2010 Nov- 1 to Nov- 5,3.53
  2010 Nov- 1 to Nov- 5,3.47
  2010 Nov- 8 to Nov-12,3.49
  2010 Nov- 8 to Nov-12,3.76
  2010 Nov- 8 to Nov-12,4.00
  2010 Nov- 8 to Nov-12,3.73
  2010 Nov- 8 to Nov-12,3.50
  2010 Nov-15 to Nov-19,3.56
  2010 Nov-15 to Nov-19,3.66
  2010 Nov-15 to Nov-19,3.77
  2010 Nov-15 to Nov-19,3.89
