  1997 Jan- 6 to Jan-10,
  1998 May-11 to May-15,2.24
  1998 May-11 to May-15,2.18
  1998 May-11 to May-15,2.18
  1998 May-18 to May-22,2.19
  1998 May-18 to May-22,2.17
  1998 May-18 to May-22,2.18
  1998 May-18 to May-22,2.11
  1998 May-18 to May-22,2.02
  1998 May-25 to May-29,
  1998 May-25 to May-29,2.10
  1998 May-25 to May-29,2.10
  1998 May-25 to May-29,2.04
  1998 May-25 to May-29,2.10
  1998 Jun- 1 to Jun- 5,2.10
  1998 Jun- 1 to Jun- 5,2.20
  1998 Jun- 1 to Jun- 5,2.13
  1998 Jun- 1 to Jun- 5,2.04
  1998 Jun- 1 to Jun- 5,2.01
  1998 Jun- 8 to Jun-12,2.00
  1998 Jun- 8 to Jun-12,2.01
  1998 Jun- 8 to Jun-12,1.98
  1998 Jun- 8 to Jun-12,1.99
  1998 Jun- 8 to Jun-12,2.01
  1998 Jun-15 to Jun-19,2.08
  1998 Jun-15 to Jun-19,2.10
  1998 Jun-15 to Jun-19,2.05
  1998 Jun-15 to Jun-19,2.14
  1998 Jun-15 to Jun-19,2.20
  1998 Jun-22 to Jun-26,2.35
  1998 Jun-22 to Jun-26,2.35
  1998 Jun-22 to Jun-26,2.40
  1998 Jun-22 to Jun-26,2.39
  1998 Jun-22 to Jun-26,2.40
  1998 Jun-29 to Jul- 3,2.36
  1998 Jun-29 to Jul- 3,2.39
  1998 Jun-29 to Jul- 3,2.46
  1998 Jun-29 to Jul- 3,2.36
  1998 Jun-29 to Jul- 3,
  1998 Jul- 6 to Jul-10,2.38
  1998 Jul- 6 to Jul-10,2.35
  1998 Jul- 6 to Jul-10,2.39
  1998 Jul- 6 to Jul-10,2.38
  1998 Jul- 6 to Jul-10,2.32
  1998 Jul-13 to Jul-17,2.30
  1998 Jul-13 to Jul-17,2.23
  1998 Jul-13 to Jul-17,2.21
  1998 Jul-13 to Jul-17,2.15
  1998 Jul-13 to Jul-17,2.15
  1998 Jul-20 to Jul-24,2.18
  1998 Jul-20 to Jul-24,2.09
  1998 Jul-20 to Jul-24,2.00
  1998 Jul-20 to Jul-24,2.00
  1998 Jul-20 to Jul-24,1.97
  1998 Jul-27 to Jul-31,2.00
  1998 Jul-27 to Jul-31,1.97
